,Posição,Escola,Inep,Cidade,Estado,Dp_Adm,Tipo_dp,Qtd_alunos,Linguagens_Codigos,Ciencias_Humanas,Ciencias_Natureza,Matematica,Redacao,Media
147,148,COLEGIO ANGLO LEONARDO DA VINCI - UNIDADE 1 - ALPHAVILLE,35195005,Barueri,São Paulo,Privada,Urbana,57,"603,42","633,24","606,52","732,53","813,68","643,93"
148,149,COLEGIO FENIX POUSO ALEGRE -ENSINO FUNDAMENTAL ANOS FINAIS E ENSINO MEDIO,31358266,Pouso Alegre,Minas Gerais,Privada,Urbana,18,"609,06","630,85","605,76","729,87","808,89","643,88"
149,150,ESCOLA PARQUE - BARRA,33148376,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,80,"605,12","625,90","598,19","746,06","874,50","643,82"
150,151,COLEGIO VISCONDE DE PORTO SEGURO - CAMPUS VALINHOS,35136025,Valinhos,São Paulo,Privada,Urbana,99,"610,92","631,38","600,36","732,48","809,09","643,78"
151,152,ESTA - ESCOLA STO TOMAS DE AQUINO,31004278,Belo Horizonte,Minas Gerais,Privada,Urbana,32,"609,02","633,86","598,10","734,06","875,00","643,76"
152,153,POLIEDRO COLEGIO,35132287,São Paulo,São Paulo,Privada,Urbana,131,"604,06","631,75","608,46","730,61","846,72","643,72"
153,154,RIO BRANCO COLEGIO UNIDADE GRANJA VIANA,35139646,Cotia,São Paulo,Privada,Urbana,45,"610,60","635,99","603,66","724,55","816,44","643,70"
154,155,RECANTO INF IMACULADA CONCEICAO,33104220,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,55,"595,14","633,30","607,33","738,69","897,09","643,62"
155,156,ESC BRETANHA JD INFANCIA TIO CARECA,33085846,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,13,"605,18","626,85","602,48","739,86","913,85","643,59"
156,157,COLEGIO LOGOSOFICO GONZALEZ PECOTCHE,31006157,Belo Horizonte,Minas Gerais,Privada,Urbana,21,"610,42","626,74","601,94","734,36","841,90","643,37"
157,158,CAMPINAS COLEGIO TECNICO DE - UNICAMP,35045949,Campinas,São Paulo,Estadual,Urbana,146,"600,64","616,34","598,70","756,65","747,12","643,08"
158,159,COLEGIO SAO JOSE,31062201,Pouso Alegre,Minas Gerais,Privada,Urbana,37,"604,26","616,59","608,05","743,21","871,89","643,03"
159,160,ESCOLA POPULAR MADRE MARIA VILLAC,22164219,Teresina,Piauí,Privada,Urbana,26,"595,19","620,56","617,69","738,45","910,77","642,97"
160,161,COLEGIO BATISTA MINEIRO,31005037,Belo Horizonte,Minas Gerais,Privada,Urbana,111,"605,89","634,46","606,23","725,12","855,68","642,92"
161,162,COLEGIO CIDADE DE BOM DESPACHO,31343668,Bom Despacho,Minas Gerais,Privada,Urbana,11,"607,54","617,62","614,65","731,85","861,82","642,91"
162,163,COLEGIO RIACHUELO,43123988,Santa Maria,Rio Grande do Sul,Privada,Urbana,39,"598,32","628,14","602,13","743,01","880,51","642,90"
163,164,COLEGIO ESPANHOL SANTA MARIA CIDADE NOVA,31004359,Belo Horizonte,Minas Gerais,Privada,Urbana,28,"607,19","641,06","591,94","731,06","847,86","642,81"
164,165,ASSOCIACAO EDUCACIONAL LUTERANA BOM JESUSIELUSC,42020530,Joinville,Santa Catarina,Privada,Urbana,85,"603,57","631,51","615,20","720,79","831,06","642,77"
165,166,RIO CLARO SISTEMA DE ENSINO,35159013,Rio Claro,São Paulo,Privada,Urbana,17,"606,53","635,50","611,56","717,31","811,76","642,73"
166,167,NOTRE DAME DE CAMPINAS COLEGIO,35112562,Campinas,São Paulo,Privada,Urbana,54,"608,86","635,14","595,36","731,45","747,41","642,70"
